,property_name,property_price,property_desc
153,Resort in Arambol,"₹5,706 total",Beach Stay 4 Rooms L-2 @ Mirati Goa
154,Hotel in Morjim,"₹3,880 total",Light and Bright 2 Bedroom with Pool
155,Flat in Dona Paula,"₹7,024 total",Coastal View 4 room luxury serviced apartment
156,Apartment in Marra,"₹4,508 total","Lovely, tranquil 2bhk near Candolim, Goa"
157,Home in Arambol,"₹7,983 total",Beach stay - 3 AC cottages with Amazing pool !
158,Home in Arpora,"₹16,547 total",Saga De Colosseum 3BHK Private Pool Villa Anjuna
159,Home in Arpora,"₹2,796 total",Private D-2BHK Apartment| Close to Beach| Arpora
160,Flat in Calangute,"₹8,329 total","002-Elegant 2Bed#Patio#2Pools Gym Jacuzzi-Baga,Goa"
161,Apartment in Goa,"₹4,903 total",2BHK✓WiFi✓2AC✓Invertor✓kitchen✓pool✓gym✓near beach
162,Flat in Candolim,"₹4,800 total",Enjoy Unrestricted stay with pool Wi-Fi & kitchen
163,Villa in Assagao,"₹41,938 total",Luxurious 5BHK Villa With a Caretaker in Assagao
164,Boutique hotel in Vagator,"₹5,295 total",3 Room R-3 with pool @vagator
165,Apartment in Calangute,"₹8,843 total","001-Elegant 2Bed#Patio#2Pools Gym Jacuzzi-Baga,Goa"
166,Villa in Calangute,"₹6,505 total",3BHK Villa Garden Pool WiFi-CalangutE BeacH
167,Flat in Calangute,"₹7,930 total",Modern fully furnished 2 bed 2bath Condo Baga Goa
168,Apartment in North Goa,"₹4,321 total",2BHK✓3AC✓kitchen✓washmach✓Invtr✓near beach✓ pool
169,Home in Candolim,"₹18,259 total",4BHK Jacuzzi Villa near beach
170,Home in Candolim,"₹8,547 total",4 Bedroom Portuguese Villa Near Candolim Beach
171,Home in Borim,"₹6,276 total",Hillside Retreat Goa
172,Home in Aldona,"₹21,911 total",4bhk Ultra Luxurious field view Villa in Aldona
173,Home in Anjuna,"₹11,009 total",Saga De Petra-R Private Pool 4BHK Villa in Anjuna
174,Apartment in Nerul - Candolim Road,"₹15,634 total",Su Casa- Luxury 3 bhk with pool ( near candolim)
175,Apartment in Candolim,"₹4,850 total",Cozy 2BHK apartment with Swimming pool at Candolim
176,Home in Reis Magos,"₹8,500 total",Casa Casita 3 Boutique Room
177,Hotel in Morjim,"₹4,108 total",Bright 3 Bedroom Cottage w/pool 2 mins to beach
178,Apartment in Arpora,"₹4,000 total",Elegant Pool View Apartment by Leela Homes
179,Home in Calangute,"₹5,705 total",2bhk villa with pool beach road
180,Villa in Vasco da Gama,"₹17,850 total",Riverside Oasis Lux Apartment Pvt Pool
181,Villa in Calangute,"₹12,199 total",West Valley Villa North Goa
182,Villa in Anjuna,"₹22,459 total",Luxury 4BHK private pool villa in Anjuna beach@2km
183,Villa in Anjuna,"₹27,000 total",LUX Artsy Pool Villa: Near Anjuna/Vagator Beach
184,Flat in Majorda,"₹6,733 total",2BHK Pool view apartment in Goa nr Majorda Beach
185,Flat in Candolim,"₹4,800 total","Stay in Comfort at Candolim: Pool, Wifi & kitchen!"
186,Home in Vagator,"₹7,074 total",Spacious 3 BHK near the beach
187,Apartment in Arpora,"₹7,418 total",Areia De Goa - 2BHK Luxury Condo near Baga Beach
188,Villa in North Goa,"₹13,360 total",Luxury Modern 3 BHK with a Private Pool near Baga
189,Resort in Arambol,"₹5,706 total",Beach Stay 4 Rooms L-2 @ Mirati Goa
190,Hotel in Morjim,"₹3,880 total",Light and Bright 2 Bedroom with Pool
191,Flat in Dona Paula,"₹7,024 total",Coastal View 4 room luxury serviced apartment
192,Apartment in Marra,"₹4,508 total","Lovely, tranquil 2bhk near Candolim, Goa"
193,Home in Arambol,"₹7,983 total",Beach stay - 3 AC cottages with Amazing pool !
194,Home in Arpora,"₹16,547 total",Saga De Colosseum 3BHK Private Pool Villa Anjuna
195,Home in Arpora,"₹2,796 total",Private D-2BHK Apartment| Close to Beach| Arpora
196,Flat in Calangute,"₹8,329 total","002-Elegant 2Bed#Patio#2Pools Gym Jacuzzi-Baga,Goa"
197,Apartment in Goa,"₹4,903 total",2BHK✓WiFi✓2AC✓Invertor✓kitchen✓pool✓gym✓near beach
198,Flat in Candolim,"₹4,800 total",Enjoy Unrestricted stay with pool Wi-Fi & kitchen
199,Villa in Assagao,"₹41,938 total",Luxurious 5BHK Villa With a Caretaker in Assagao
200,Boutique hotel in Vagator,"₹5,295 total",3 Room R-3 with pool @vagator
201,Apartment in Calangute,"₹8,843 total","001-Elegant 2Bed#Patio#2Pools Gym Jacuzzi-Baga,Goa"
202,Villa in Calangute,"₹6,505 total",3BHK Villa Garden Pool WiFi-CalangutE BeacH
203,Flat in Calangute,"₹7,930 total",Modern fully furnished 2 bed 2bath Condo Baga Goa
204,Apartment in North Goa,"₹4,321 total",2BHK✓3AC✓kitchen✓washmach✓Invtr✓near beach✓ pool
205,Home in Candolim,"₹18,259 total",4BHK Jacuzzi Villa near beach
206,Home in Candolim,"₹8,547 total",4 Bedroom Portuguese Villa Near Candolim Beach
207,Home in Borim,"₹6,276 total",Hillside Retreat Goa
208,Home in Aldona,"₹21,911 total",4bhk Ultra Luxurious field view Villa in Aldona
209,Home in Anjuna,"₹11,009 total",Saga De Petra-R Private Pool 4BHK Villa in Anjuna
210,Apartment in Nerul - Candolim Road,"₹15,634 total",Su Casa- Luxury 3 bhk with pool ( near candolim)
211,Apartment in Candolim,"₹4,850 total",Cozy 2BHK apartment with Swimming pool at Candolim
212,Home in Reis Magos,"₹8,500 total",Casa Casita 3 Boutique Room
213,Hotel in Morjim,"₹4,108 total",Bright 3 Bedroom Cottage w/pool 2 mins to beach
214,Apartment in Arpora,"₹4,000 total",Elegant Pool View Apartment by Leela Homes
215,Home in Calangute,"₹5,705 total",2bhk villa with pool beach road
